#6g_ssd_readtime,6g_ssd_seektime,6g_ssd_defragtime,6g_ssd_writetime,6g_ssd_totaltime,9g_ssd_readtime,9g_ssd_seektime,9g_ssd_defragtime,9g_ssd_writetime,9g_ssd_totaltime,12g_ssd_readtime,12g_ssd_seektime,12g_ssd_defragtime,12g_ssd_writetime,12g_ssd_totaltime
1373.015572,0.000346899,216.9734428,380.0621884,2113.831379,1123.251799,0.000540495,209.283776,667.6800096,2130.352753,1496.392808,0.001673937,302.8441446,1200.48092,3174.465086
1394.397552,0.000334978,220.6737332,376.9822626,2136.260837,1110.723411,0.000495672,213.3312619,599.1447248,2047.925348,1485.381353,0.001657724,299.9469414,1212.394703,3175.085933
1390.885378,0.000340462,216.8490179,379.6697001,2131.407485,1120.960809,0.000495672,216.2989273,566.9701507,2041.187855,1544.4053,0.001665831,306.302207,1150.66635,3174.353712
1376.779537,0.000350952,217.6913447,387.9560597,2126.905741,1140.78235,0.000515699,210.3841813,578.3369935,2061.729072,1505.766412,0.00173521,302.3069263,1264.492208,3250.495218
1392.032027,0.000341892,218.3932912,386.3249514,2143.972368,1135.718486,0.000549793,208.6493053,581.9473181,2062.184142,1478.381662,0.001708746,304.5929096,1183.738111,3142.115699
1382.444757,0.000346184,219.5003693,375.0386219,2121.017694,1141.420427,0.000544071,210.6641123,654.4111924,2144.972568,1465.931842,0.001781225,299.1620979,1316.699579,3253.908017
1375.564248,0.000347614,220.2953141,378.1317561,2118.814576,1137.941041,0.000484705,213.135258,567.0613501,2066.481119,1527.28155,0.001794577,309.2673721,1148.303664,3161.835421
1370.870689,0.000344753,218.8825502,376.1403539,2111.044873,1120.412768,0.000549793,209.1419642,557.9228313,2024.122622,1514.292402,0.001657009,305.2692871,1175.701261,3174.709944
1387.100389,0.000356674,220.8671536,379.038229,2131.132139,1133.872801,0.00048542,213.1831961,588.9699521,2069.579731,1535.227543,0.001652956,305.0834935,1168.021983,3189.551764
1395.354918,0.000352144,220.7923586,385.9676969,2149.761426,1116.299434,0.000490904,210.2663474,560.0570557,2021.756037,1582.689821,0.001601219,309.8980188,1145.847616,3214.47187
