#Slices SSD	Blocks	ClusterRead 2 Slices	ClusterRead 15 slices	ClusterRead 20 slices	Slices HDD	Blocks	Total SSD Slice Read	Total SSD Slice Write	Total HDD Slice Read	Total HDD Slice Write	Total SSD Block Read	Total SSD Block Seek	Total SSD Block Write	Total HDD Block Read 	Total HDD block Seek	Total HDD block Write
21m16.176s	56m51.987s	13m32.315s	15m37.839s	15m40.050s	20m50.575s	46m5.570s	1192.044861	71.78960705	1134.737742	96.13094044	2109.487427	573.9233189	104.8709178	1654.720854	569.9105501	140.5833521
20m21.461s	47m58.548s	13m21.295s	15m4.223s	15m49.887s	21m46.304s	40m37.514s	1131.42702	77.03968549	1189.356037	99.38678026	2111.13549	552.2980073	107.5261452	1672.207538	645.8335643	153.7848804
21m10.553s	47m38.367s	13m16.227s	14m59.539s	15m44.588s	21m43.788s	42m41.203s	1173.393291	84.77240586	1174.867149	107.777225	2134.01771	527.5210967	114.8349288	1658.221298	603.5266371	143.4684231
20m24.669s	47m48.832s	13m19.205s	15m2.681s	15m41.480s	25m15.475s	41m26.832s	1127.543924	85.81927252	1373.997986	123.2256389	2095.651186	570.8882654	112.5424187	1647.01358	597.0368948	143.2761719
21m24.475s	47m45.660s	13m12.866s	15m3.313s	15m49.745s	20m21.873s	40m59.704s	1180.880696	91.35807538	1096.865571	103.1978278	2217.399376	588.78439	110.1470265	1679.581959	558.1402011	140.205385
20m22.025s	50m2.555s	13m21.355s	14m56.061s	15m46.714s	22m44.952s	40m52.886s	1128.405982	79.41704845	1230.03403	116.7933218	2208.894975	563.1881053	111.2658019	1677.823623	722.8977411	171.237036
21m20.829s	49m31.430s	13m20.515s	14m57.481s	15m40.805s	19m43.845s	44m22.612s	1182.811438	84.49918652	1061.879642	102.5562646	2195.538269	604.7705317	113.0487642	1680.88429	575.3051736	132.9652691
21m39.605s	50m6.955s	13m21.032s	14m59.409s	15m38.408s	19m33.313s	41m8.806s	1199.430168	89.21722126	1056.967214	99.21666813	2205.958341	578.843363	112.2585943	1705.843414	608.3103368	149.7830319
21m31.628s	49m53.232s	13m18.534s	14m59.210s	15m42.390s	28m13.786s	42m29.941s	1189.957216	88.20404005	1537.182867	138.1585927	2205.043288	564.5355203	110.2558358	1714.26836	655.0632818	150.4112186
21m58.389s	49m38.859s	13m22.898s	14m58.340s	15m41.995s	24m27.728s	43m29.740s	1215.121014	90.3172543	1322.08501	128.2208824	2174.164163	587.6640072	114.7816381	1708.857475	767.9281905	176.9879396
